aluguel,zona,area,quarto
21000.0,sul,265.0,3.0
2000.0,sul,45.0,1.0
1499.0,sul,45.0,1.0
4500.0,sul,112.0,3.0
4500.0,sul,125.0,3.0
4500.0,sul,98.0,3.0
4500.0,sul,66.0,2.0
4500.0,sul,70.0,2.0
4500.0,sul,95.0,3.0
4500.0,sul,110.0,3.0
4500.0,sul,40.0,1.0
4500.0,sul,70.0,2.0
1300.0,sul,110.0,4.0
6500.0,sul,147.0,3.0
1050.0,sul,50.0,2.0
1400.0,sul,52.0,2.0
4500.0,sul,54.0,2.0
1580.0,sul,100.0,2.0
1238.0,sul,65.0,2.0
1450.0,sul,58.0,2.0
3000.0,sul,52.0,2.0
1678.0,sul,64.0,2.0
660.0,sul,30.0,1.0
2500.0,sul,80.0,3.0
1771.0,sul,118.0,2.0
1000.0,sul,40.0,2.0
1600.0,sul,80.0,2.0
1100.0,sul,60.0,2.0
4000.0,sul,53.0,2.0
1451.0,sul,40.0,1.0
1898.0,sul,32.0,1.0
1779.0,sul,35.0,1.0
1400.0,sul,55.0,2.0
2410.0,sul,66.0,2.0
3300.0,sul,55.0,1.0
1200.0,sul,47.0,2.0
2500.0,sul,100.0,3.0
2800.0,sul,81.0,2.0
1500.0,sul,100.0,1.0
1300.0,sul,53.0,2.0
1600.0,sul,100.0,2.0
1898.0,sul,55.0,2.0
1498.0,sul,43.0,1.0
1930.0,sul,200.0,3.0
13500.0,sul,355.0,3.0
1600.0,sul,65.0,3.0
3300.0,sul,80.0,2.0
2350.0,sul,48.0,2.0
2000.0,sul,53.0,2.0
1950.0,sul,70.0,2.0
1700.0,sul,50.0,2.0
2450.0,sul,70.0,3.0
4000.0,sul,50.0,1.0
1950.0,sul,35.0,1.0
1200.0,sul,32.0,1.0
2713.0,sul,68.0,2.0
1923.0,sul,59.0,2.0
1100.0,sul,59.0,1.0
1000.0,sul,55.0,2.0
3500.0,sul,142.0,3.0
2000.0,sul,35.0,1.0
2561.0,sul,55.0,2.0
1200.0,sul,34.0,1.0
2310.0,sul,76.0,3.0
1600.0,sul,40.0,1.0
2864.0,sul,84.0,2.0
1190.0,sul,41.0,1.0
4500.0,sul,31.0,1.0
2700.0,sul,88.0,2.0
3500.0,sul,78.0,2.0
3500.0,sul,55.0,2.0
1500.0,sul,65.0,2.0
1200.0,sul,30.0,1.0
1500.0,sul,49.0,2.0
2798.0,sul,60.0,2.0
